day,unique_addresses,total_transactions,total_value_transferred,average_gas_price,total_gas_used,successful_transactions
2023-01-01,910238,2255563,589390707405540356594340,6583970827.639831,277894092233,2132374
2023-01-02,975912,2455883,374022144420832577165874,6596348078.258839,297863200974,2321729
2023-01-03,970770,2461572,309861995069830418106078,6437695027.835972,290895505468,2334889
2023-01-04,972801,2538459,479808770183750279427617,6674560755.495601,316518274429,2419033
2023-01-05,975662,2506904,247252045285210788851687,6505860445.148439,334904545530,2391335
2023-01-06,992562,2487374,492682877719924367552624,7013123618.8186,321664311655,2359687
2023-01-07,932235,2414684,247094171495319495473050,6505729907.270538,316069008050,2270672
2023-01-08,1076636,2657343,322278160863324237273507,6566904605.53759,337512133992,2507988
2023-01-09,1147761,2909176,508268439781277292172599,6873579075.949555,376892481635,2748960
2023-01-10,1130685,2756547,1767004078893272970825391,6529165185.954155,340676838151,2627589
2023-01-11,1099915,2720983,1612335740139707033931065,6672028359.242886,349660883639,2586701
2023-01-12,1160133,2895392,1518746469353554254136670,6883565465.745421,363774126355,2747861
2023-01-13,1085338,2779770,1224591050196956183820468,6957957942.628557,320859442520,2638357
2023-01-14,1123151,3064831,1127638867673715315107525,7305554697.908554,365301005905,2844339
2023-01-15,1003004,2688593,536033551307564198296322,7241192172.442183,334441633603,2507463
2023-01-16,1146746,2919562,1084427280550542701339669,7249379162.584171,337975323306,2763231
2023-01-17,1051560,2734946,744086025457735746878939,7170597028.012517,315967889308,2580424
2023-01-18,1073775,2888064,634248732689874358384944,7367091713.441694,332238028792,2713005
2023-01-19,1030965,2775048,728912755443056631223811,6935993701.622366,344220112405,2613828
2023-01-20,1048777,2843816,696694228322032443530291,6807556329.295985,361136465262,2702504
2023-01-21,1028708,2976036,740464282765318339776519,7175817717.997829,423075809793,2805561
2023-01-22,937054,2527498,428575931157295951056239,6635688549.862626,309640606715,2380078
2023-01-23,938403,2556322,417204104547885881452121,6765688252.324532,330481913928,2416378
2023-01-24,1088551,2837625,739117124695779993505271,6684833900.943223,354314350785,2694503
2023-01-25,1064004,2806009,528406018506302013491302,6828256419.2128525,343458214008,2673826
2023-01-26,1059796,2826880,606956067759096277266915,6799584835.887902,336567962729,2680523
2023-01-27,1085741,2978785,389413503608389678092316,7865625199.196797,340548633550,2794849
2023-01-28,1037349,2732669,326534095291104771668662,6899295867.512078,329462024225,2594879
2023-01-29,1060863,3007245,399583865669168339771069,7140016236.276407,381762899607,2842141
2023-01-30,1102715,3137599,445432575210384286395869,7292193317.7912245,375346223265,2946132
2023-01-31,1186614,3283503,546654021317628856793776,7426432202.291416,428448145951,3094598
2023-02-01,1165055,3151754,447012833506722111262217,7252428132.412059,385628777589,2962139
2023-02-02,1241450,3294278,580494612321547600845802,7268462530.94005,424429889539,3121826
2023-02-03,1094127,3017383,515136664926417998318506,7184818152.604378,367967866648,2851588
2023-02-04,1081904,2968498,404600390886984470014207,6891189350.548254,448284462932,2811038
2023-02-05,1047078,2960861,412615159224177036507439,6799086050.557594,404861582228,2785147
2023-02-06,1045037,2897310,351365886718091660943879,7550307437.353435,437936986890,2727800
2023-02-07,1204410,3277981,451653875303930692193179,7930648322.637619,434118522539,3100300
2023-02-08,1156442,3193651,434448938498556738407788,7370849685.945467,412768010671,3020225
2023-02-09,1244961,3459830,594424535543766117821715,7268279677.223573,428503570082,3276391
2023-02-10,1146317,3110917,397421019978791394728854,7374287090.05373,388619763200,2957130
2023-02-11,1058514,2880559,322555779748723865017132,9356650827.01056,371996484325,2736081
2023-02-12,1086382,2898079,401395382439712038933989,7532591084.205295,352844267494,2750580
2023-02-13,1204736,3308302,709681896821137941650746,7469302734.769938,388207072678,3138100
2023-02-14,1111679,3073071,526045780197805086771525,7460715567.01518,357754653061,2920358
2023-02-15,1179188,3306248,474235295975441800947505,7716886412.486849,396735987378,3130653
2023-02-16,1193952,3425204,704851560910813194182639,7983976818.925333,436709332097,3236817
2023-02-17,1228626,3363109,490008887832040314379689,7887735069.071594,420440392227,3170883
2023-02-18,1160197,3179009,347509269371468687947648,7220912179.064218,394349648908,2991453
2023-02-19,1166680,3260147,410727920728169180329238,7162201475.483848,412605599250,3076786
2023-02-20,1222967,3428301,428229940725405469613437,7507628427.067193,424104431505,3226042
2023-02-21,1318345,3424640,568175200193326813686851,7608263318.923212,419171373185,3247709
2023-02-22,1386180,3589181,698699745989646912359787,7677294080.340255,446447071630,3402923
2023-02-23,1664343,3657668,482297395789483588596216,7067209708.284482,452064892929,3486445
2023-02-24,1705503,3652724,496785371328118072547010,6982775418.490012,442216925870,3489626
2023-02-25,1725414,3496258,487135981178297198116466,6597216957.881079,404372503951,3354969
2023-02-26,1674356,3365746,403434487141281380459449,6890620379.291616,377649097229,3225443
2023-02-27,1856499,3817848,432831091988661860110605,7588106294.335527,438035705531,3653634
2023-02-28,2220804,4594445,689888318428980494045851,7201215713.042893,506964613193,4394754
2023-03-01,2370861,4463742,620484472386686813363973,6281988101.800877,503558952199,4273243
2023-03-02,2803554,5174219,675354989566157318007095,5504850383.805974,571962456743,5001479
2023-03-03,2016458,4033871,549619391010851286797395,6942577219.765405,422329219186,3831431
2023-03-04,1777803,3402251,416351765570297102644447,6833883350.774743,366049382466,3261573
2023-03-05,1764785,3375200,393851962915440043750833,6643123231.714293,356613310528,3242304
2023-03-06,1766272,3633761,456634756672929266398077,6621575486.243459,376903618670,3496553
2023-03-07,1462414,3531561,533859675634309930929982,6862757386.290741,390074205906,3357186
2023-03-08,1492241,3449127,511808123723364272907493,6811535657.363887,365480562722,3281230
2023-03-09,1604439,3735082,543044041723102184752727,6801118372.254018,395873145381,3556085
2023-03-10,1581342,3871056,718091034416866385669824,7110697319.11459,407615549065,3608434
2023-03-11,1541980,3725495,725238808457985908652981,7468717490.954739,425305149380,3507308
2023-03-12,1486624,3393975,498698185746327010779528,6469440088.720418,381950485841,3254764
2023-03-13,1623900,3795376,913839982246542567392726,6880669937.193579,407313214247,3581566
2023-03-14,1578551,3667149,689031784003580481503197,7327458257.378488,404408642577,3483560
2023-03-15,1596229,3718999,601330839641026851546245,7675861433.341558,420874087619,3510857
2023-03-16,1686304,3818701,5872602162163536288376558,6751964751.62136,434240550117,3608522
2023-03-17,1654335,3754404,24587248235160174389028892,6742236568.908755,436380250894,3529641
2023-03-18,1486285,3407515,25312878669777167155535970,6640777550.383781,400135206653,3248424
2023-03-19,1452110,3354080,1838169593753873941478144,6509345437.590368,366841819965,3212871
2023-03-20,1524057,3584970,705317342031121240912264,6747870029.149089,395653866449,3416677
2023-03-21,1670419,3683806,932764791397308223320519,6543452333.18981,397487339592,3504358
2023-03-22,2060045,4713138,16246513572960382853411934,6566361882.7679,479031542321,4440145
2023-03-23,1767520,3751941,978504919329513286493788,6551400589.517433,404317593562,3575244
2023-03-24,1848333,3617025,532673459971593360049921,6673527138.652727,394266757906,3469675
2023-03-25,1652418,3260593,322435817593164235090511,6031491955.753821,344660368682,3137353
2023-03-26,1680582,3366014,358019085619151957245131,5913516528.266476,345346321936,3208320
2023-03-27,1714690,3616771,584430656109273142129154,6587512070.672328,397550878141,3416242
2023-03-28,2091442,3890700,494843754031816470379125,6767051804.789275,398964081823,3719161
2023-03-29,2079003,3898284,1454789588327948453981849,6341063670.388646,401228333756,3739316
2023-03-30,1836031,3603091,1105002224104722342081331,6652230274.977897,395398492131,3444941
2023-03-31,1852425,3652973,1548402953680895317285238,6712568878.402996,427326885576,3503523
2023-04-01,1709884,3385802,440930257070406525709634,7066894358.02931,396875484396,3254321
2023-04-02,1565841,3246556,556827993741474518129411,6798986966.276034,375243299887,3087097
2023-04-03,1764774,3758363,796146425845693674125222,6843130478.161753,433291465370,3579761
2023-04-04,1752824,3549566,843934631676746712228591,6661733206.691729,391491634130,3408458
2023-04-05,1725984,3623669,602668914689774760982326,6369460204.51996,405108087683,3473874
2023-04-06,1717569,3708887,1530685796143065354757519,6938426280.178216,421665441580,3541077
2023-04-07,1722758,3538894,458248695560880739592767,6249443856.905569,398861706557,3406688
2023-04-08,1530352,3284574,451969345191955523231207,6658875510.468894,376090325877,3158165
2023-04-09,1563666,3317665,440674032842115994246611,6191879843.695547,371797556131,3192315
2023-04-10,1663530,3679265,545253852844270193995711,6719356237.708698,448478308977,3521936
2023-04-11,1780740,3731882,3093918869398272281732246,6353862082.62311,431466593280,3578166
2023-04-12,1593452,3572538,1723356527935523533740274,6016454229.704475,437819760571,3419184
2023-04-13,1609850,3671020,595537315937645404492632,6164327797.411466,480525818320,3488386
2023-04-14,1651069,3766108,697833873880956277562199,5796537136.588767,495650037052,3604538
2023-04-15,1556380,3422823,615643073614617506546293,5317874958.600615,444688871608,3288745
2023-04-16,1503845,3469548,684223067293640343818287,4996291830.189704,460487076839,3323240
2023-04-17,1609845,3832532,1012096897175974153674576,5327933307.939972,548121492198,3689942
2023-04-18,1669809,3959179,655230527698040970801402,5282638485.958738,567314162806,3789412
2023-04-19,1611154,3938732,715376711151301930985241,5316569562.495614,744658123364,3764014
2023-04-20,1486092,3908852,736849402661338059356065,5827950881.572904,705418996924,3744333
2023-04-21,1515341,3878488,1100482683873732580543773,4907618358.43986,682964436855,3698496
2023-04-22,1513087,3405626,3173740705433589293785207,4364656253.070373,645486844378,3264331
2023-04-23,1536488,3392609,4701756692228180687327571,4731800003.759368,660867882584,3271038
2023-04-24,1645307,3816673,1075356348128729155024917,5241782392.134596,996849004950,3626026
2023-04-25,1810127,4013359,2329772692851519553968251,4899404987.863823,1078567384342,3841629
2023-04-26,1537397,4083801,1533318594045139880243936,4695782753.97475,1042686917071,3902700
2023-04-27,1949354,4353063,842465388365519509435818,4324386571.933522,925435698238,4152263
2023-04-28,1903705,4236378,14007850110550586863437524,4889560446.785586,744689329072,4054550
2023-04-29,1780033,3809169,1300817408531088138344038,5248283812.505236,626470498965,3646778
2023-04-30,1730151,3882455,2346927826442206210014170,4786997864.26543,579596201213,3742993
2023-05-01,1764947,4015345,24205549967540480280129876,5886799821.372538,561719956160,3830244
2023-05-02,1749069,4034134,16903097685783068661259881,5061775352.124494,531791788646,3856353
2023-05-03,1741610,4013928,7192630697438441791072432,5096482472.679432,599871130803,3855787
2023-05-04,1751577,4023071,733156759351360061371836,4985065365.807774,510184568480,3857652
2023-05-05,1872502,4330868,639981925437016975134527,5198673766.923161,568454511311,4140811
2023-05-06,1837606,4193663,680675661382617929040921,4968222304.540534,556129166919,4020933
2023-05-07,1827342,4325780,673148553990714690691314,6098069150.420238,545636031181,4115561
2023-05-08,1907555,4894824,3235579128592914048834144,6062394800.31264,589669191136,4580843
2023-05-09,2143186,5031630,953989439917429050231956,5516231886.294342,633450937771,4755066
2023-05-10,2028884,4853818,1240812954695880175673667,5628079048.99872,598971571175,4629754
2023-05-11,2138564,4836170,2346729172817671672163811,5477603204.145206,559487347168,4635373
2023-05-12,1906423,4694171,821143982280737622988836,6808715841.42416,545239452259,4448298
2023-05-13,1729299,4112951,652683117364944355137844,5283603031.58359,468913763470,3945450
2023-05-14,1666239,3909815,609484354577162068456605,5888190691.680195,446209995193,3746239
2023-05-15,1951855,4618785,758100562341954529803266,6086957546.767999,529737869056,4385440
2023-05-16,2032851,4982320,829078304436311643006266,5054416285.750049,547603006672,4584420
2023-05-17,2546944,5337096,755480020110504509060513,5051586515.575354,609071914369,5133845
2023-05-18,1986642,4797684,808598323110151258860317,5567439309.3925085,580983430208,4583025
2023-05-19,2012343,4675140,739918883953482014265737,5040730992.543482,583877732810,4486791
2023-05-20,1884820,4486057,816818066483429810671961,5161169418.083865,522083183975,4310002
2023-05-21,2075096,4615742,739083427633299693962217,4719109052.841949,534226189022,4457084
2023-05-22,2058594,4714615,784639928671657893373623,4981028642.927731,571402470431,4518888
2023-05-23,1962491,4284723,853495013934156880626788,5151864584.185497,534317314380,4099516
2023-05-24,1879283,4461946,786619407607074019215890,5716270541.704136,561125957514,4212094
2023-05-25,1849095,4199075,817829726311092284554864,4963965912.908511,550771445818,3981583
2023-05-26,1856586,4123308,859736403802876347064090,5067019235.6380825,523052840018,3944841
2023-05-27,1733758,3773393,706832365202457611666153,4509058862.50441,448277579323,3616777
2023-05-28,1645949,3782405,791943341684703272049611,4802765718.462724,455528208149,3618522
2023-05-29,1808552,4208475,943637303505748347977855,5147968387.163348,493814862985,4011698
2023-05-30,2056639,4434523,732769159709134121112370,5077163823.965912,526350174864,4243669
2023-05-31,2083456,4480621,780577221540575334631477,5048869386.566323,533798432664,4288630
2023-06-01,2070368,4297303,766631247950652169156418,4640621076.969192,546562514631,4106968
2023-06-02,1903957,4073517,759193595762270345621801,4781082620.268265,502097671328,3889335
2023-06-03,1832729,3880218,646429214598948789805801,4466389694.365573,452160679489,3704184
2023-06-04,1533823,3954604,664617875939794823402059,5192751954.181209,512975614022,3717548
2023-06-05,2104729,4583500,1320929517752252919388208,5372193227.954775,543479870949,4333959
2023-06-06,2049150,4254835,1147792114559807550087045,4799875927.163668,532811589927,4034739
2023-06-07,1870477,4064117,1625528275022487957304944,4880227136.27154,502900546481,3857298
2023-06-08,1707245,3790730,845132552508494135990962,4702315975.244731,481083787870,3613729
2023-06-09,1790431,3893067,961363709522340548830417,4387075814.089387,489877094067,3708615
2023-06-10,1712950,4087993,1275159656402329233916597,5575290662.931533,540749331857,3793148
2023-06-11,1616534,3499942,714590120590528346164250,4921159413.509776,463462786512,3318008
2023-06-12,1733536,4079004,1439157136906738518836699,5636868099.139403,495034276293,3813622
2023-06-13,1763887,3960917,2020347562588611374227705,5163897700.462115,490399109911,3730897
2023-06-14,1906024,4273694,3746597102986164412086676,5228526717.825191,553729061676,4051490
2023-06-15,1910857,4101664,1854846207088026816217138,5353899034.002806,562825735349,3916913
2023-06-16,1827272,3916135,1050964237632203256988258,4872936079.711699,496391182894,3735666
2023-06-17,1716948,3602120,855333243975990349119450,5436518382.040143,426928635539,3436865
2023-06-18,1627737,3389131,700218871649124907616538,4590409301.613014,407632727139,3243830
2023-06-19,1762115,3859472,902964480107134572863472,4877988958.324482,489182970256,3681925
2023-06-20,1869397,4241578,940113528641319434215021,4531129245.428978,478978335457,4060978
2023-06-21,1893199,4523475,1051854080041769524008235,5261700163.559078,523171911085,4273358
2023-06-22,1753499,3960054,947346721522774713401773,4780709446.98707,475269317104,3741281
2023-06-23,1871874,4456526,813382432583633670842073,4532808872.002865,537594202661,4286584
2023-06-24,1704392,3913620,790521388667934542629365,4409957787.149362,473894576483,3775502
2023-06-25,1702606,3929276,808709148842881965447375,4472930622.981603,462686876690,3770697
2023-06-26,1690157,3903627,777572516616372912286967,4870631523.336011,500769833381,3731926
2023-06-27,1763086,4022694,708510645554039298431538,4518284266.300487,488211465205,3858979
2023-06-28,1678350,3899258,1886701086958847109600955,4590712093.37818,485292138793,3733022
2023-06-29,2049178,4685909,1351170382724455498708581,4992896378.562746,525642795489,4497452
2023-06-30,2029978,4882473,1414004733004617439225154,5069194605.007626,568649529505,4662656
2023-07-01,1692185,4002187,851759418033452324508787,4501833047.064252,473566140338,3829929
2023-07-02,1604230,3701997,733814238148207784482762,4681850366.183829,430656669341,3553740
2023-07-03,1682869,3917080,901369568304872629199131,4877558439.520318,457311817370,3731609
2023-07-04,1693904,3929200,794960017796805572246956,4604515217.157416,451107921938,3749056
2023-07-05,1688221,4160628,668564536724358185290632,5557311138.584796,483370882849,3937468
2023-07-06,1646043,4020676,737949023631012442782338,4605324196.447742,473314486513,3841346
2023-07-07,1714202,4148986,685559997501983518109863,4837945631.157617,480652978617,3908496
2023-07-08,1659197,3778528,607934017294935523167893,4391704017.365217,466084173421,3628926
2023-07-09,1641193,3753029,1124964047788723509199054,4600976073.908436,460519769931,3607948
2023-07-10,1730368,4044923,3008478006565428639323313,4716508279.067618,521607627483,3862660
2023-07-11,1818494,4160472,4412363707009706711938186,4646846779.029133,497779546631,3994974
2023-07-12,1893449,4103242,880244881680163640531774,4665347456.255893,479738478556,3934496
2023-07-13,1887731,4321509,946735854485045121829417,5027956031.660578,519012118996,4051924
2023-07-14,1885854,4221270,1256192983937244724853464,4739034344.244927,507672591049,4026862
2023-07-15,1851929,3813495,902182459604540752750226,4581979924.385925,418459186499,3671008
2023-07-16,1598178,3624309,1153652770295063584591312,4769417835.57532,415951344845,3466446
